german	russian
alle (Alle Leute, die ich kenne, lieben diese Stadt.)	все (Все люди, которых я знаю, любят этот город.)
alleinerziehend	воспитывающий в одиночку
allerdings	разумеется
als (Ich habe eine Ausbildung als Kaufmann gemacht.)	в качестве, как (Я получил образование менеджера по продажам.)
alt, älter, am ältesten	старый
der Apartmentkomplex, -e	жилой комплекс
die Arbeit, -en	работа
arbeiten	работать
auf (+ D./A.) (Ich spiele oft Fußball auf einem kleinen Platz hier um die Ecke. / Zum Fußballspielen gehe ich auf einen kleinen Platz hier um die Ecke.)	на (Я часто играю в футбол на маленьком поле недалеко отсюда. / Играть в футбол я хожу на маленькое поле недалеко отсюда.)
aufwachsen, wächst auf, wuchs auf, ist aufgewachsen	вырасти
die Ausbildung, -en	образование, обучение
bei (+ D.)	у, при
der Betrieb, -e	предприятие
bisschen (ein bisschen)	немного (немного)
bringen, bringt, brachte, hat gebracht (Glück bringen)	приносить (приносить счастье)
dann	тогда
dass	что
die Ecke, -n	угол
eigentlich	собственно говоря
einfach (Es ist einfach nur toll, dass wir uns getroffen haben.)	просто (Это просто здорово, что мы встретились.)
Eishockey	хоккей
das Erlebnis, -se	событие
fast	почти
finden, findet, fand, hat gefunden (Ich finde meine Arbeit super.)	находить, расценивать, считать (Моя работа мне очень нравится.)
freuen (sich) (auf + A. / über + A.)	радоваться
der/die Freund/in, -e/-nen	друг/подруга
der Fußball, "-e	футбол
ganz (Ich bin Berlinerin, ganz klar.)	совсем, вполне (Я живу в Берлине, очевидно.)
geboren	рождённый
gehen, geht, ging, ist gegangen (Ich gehe gern schwimmen.)	идти (Я люблю ходить плавать.)
geschieden	разведённый
glauben	верить
das Glück (Sg.) (Viel Glück!)	счастье
groß, größer, am größsten	большой
die Heimat, -en	родина
heißen, heißt, hieß, hat geheißen (Ich heiße Klara.)	называться (Меня зовут Клара.)
das Herz, -en	сердце
heute	сегодня
hier	здесь
das Jahr, -e	год
jede, jeder	каждый
klar	ясно
klein	маленький
die Kleinstadt, "-e	маленький город
kommen, kommt, kam, ist gekommen (Ich komme heute um sechs Uhr nach Hause.)	приходить (Я приду сегодня домой в 6 часов.)
können, kann, konnte, hat gekonnt/können	мочь
lauter (Ich wohne in einem Haus mit lauter kleinen Wohnungen.)	только, исключительно (Я живу в доме, где есть только маленькие квартиры.)
leben	жить
der Lebensstil, -e	образ жизни
die Leidenschaft, -en	страсть
lernen	учить
die Leute (PI.)	люди
machen (eine Ausbildung machen)	делать (учиться, обучаться, получать образование)
manchmal	иногда
der Mensch, -en	человек
mit (+ D.)	с
die Mutter, "-	мать
die Muttersprache, -n	родной язык
nach (+ D.) (Ich bin vor zwei Jahren nach Wien gekommen.)	в (Два года назад я приехал в Вену.)
nach (+ D.) (Ich treffe ihn immer nach 18 Uhr.)	после (Я встречаюсь с ним всегда после 18 часов.)
neu	новый
noch	ещё
oft	часто
schlagen, schlägt, schlug, hat geschlagen (Mein Herz schlägt für Fußball.)	бить(ся) (Моб сердце принадлежит футболу.)
der/die Schornsteinfeger/in, -/-nen	трубочист
die Schule, -n	школа
schwimmen, schwimmt, schwamm, ist geschwommen	плавать
der See, -n	озеро
sehen, sieht, sah, hat gesehen (Ich freue mich, dich zu sehen.)	видеть (Я рад видеть тебя.)
seit (+ D.) (Ich bin seit drei Jahren geschieden.)	здесь: указывает на продолжительность времени (Я уже три года как в разводе.)
so (Ich komme aus der Türkei, bin aber in Deutschland aufgewachsen. So habe ich zwei Muttersprachen.)	так, так что, следовательно (Я из Турции, вырос в Германии. Таким образом у меня два родных языка.)
der Sommer, -	лето
spielen (Eishockey spielen)	играть (играть в хоккей)
die Sprache, -n	язык, речь
das Stadion, Stadien	стадион
die Stelle, -n (Ich habe eine neue Stelle als Informatiker gefunden.)	место (Я нашёл новое место работы в качестве специалиста по компьютерам.)
super	супер
die Tochter, "-	дочь
toll	здорово, замечательно
trotzdem	несмотря на это
um (+ A.) (Wir gehen um den See.)	вокруг, около (Мы идём вокруг озера.)
vermissen	скучать
viel, viele	много
vielleicht	может быть, возможно
vor (+ D.) (vor zwei Jahren)	перед, до, ...тому назад (два года тому назад)
wegen (+ G.)	из-за, вследствие
weil	потому что
die Welt, -en	мир, свет
wenn	если, когда
der Winter, -	зима
woanders	где-нибудь в другом месте
das Wochenende, -n	конец недели
wohlfühlen (sich)	чувствовать себя хорошо
wohnen	жить
die Wohnung, -en	квартира
zu Hause	дома
zulassen, lässt zu, ließ zu, hat zugelassen	допускать
der Kurztext, -e	сокращённый текст, краткий текст
lesen, liest, las, hat gelesen	читать
notieren	записывать, делать заметки
sprechen, spricht, sprach, hat gesprochen (Worüber sprecht ihr?)	говорить, разговаривать (О чём вы разговариваете?)
welche, welcher, welches	какой (именно), который
die Wohnsituation, -en	жилищная ситуация
auswählen	выбирать
das Ende, -n (etw. zu Ende schreiben)	конец (дописывать, заканчивать писать ч.-л.)
die Gruppe, -n	группа
die Person, -en	персона, лицо, человек, личность
schreiben, schreibt, schrieb, hat geschrieben	писать
der Text, -e	текст
vorstellen (Ich stelle euch unseren neuen Kollegen vor: Das ist Otto Hansen.)	представлять (Я представляю вам нашего нового коллегу: это Отто Ханзен.)
aus (+ D.)	из
einige	некоторые
sagen	говорить
der Satz, "-e	предложение
selbst	сам
das Thema, Themen	тема
über (+ A.) (Wir sprechen gerade über ...)	о, об (Мы сейчас как раз говорим о...)
bedeuten	значить, означать
diese, dieser, dieses	эта, эти
diskutieren (mit + D.) (über + A.)	обсуждать ч.-л., дискутировать
das Leben	жизнь
möglich	возможно
der Spruch, "-e	изречение, высказывание, фраза
der Traum, "-e	мечта
was	что
ansehen, sieht an, sah an, hat angesehen	посмотреть, рассмотреть
der Foto, -s	фотография
gehen (um + A.), geht, ging, ist gegangen (in der Geschichte geht es um ...)	идти (В истории речь идёт о...)
das Abenteuer	приключение
das Album, Alben	альбом
als (als Kind war ich ständig auf dem Fußballplatz.)	в качестве, как (Будучи ребёнком, я пропадал на футбольном поле.)
an (+ D./A.) (an der/die Ecke)	при, возле (на углу/ к углу)
ändern (sich)	изменить(ся)
die Anfangseuphorie (Sg.)	начальная эйфория
der Artikel, - (Heute habe ich einen interessanten Artikel in der Zeitung gelesen.)	статья (в газете) (Сегодня я прочитал одну интересную статью в газете.)
auch	тоже, также
auf einmal (auf einmal war Simona berühmt.)	вдруг, внезапно (Внезапно Зимона стала знаменитой.)
aufgeben, gibt auf, gab auf, hat aufgegeben (Es gibt Menschen, die niemals aufgeben.)	сдаваться (Есть люди, которые никогда не сдаются.)
der Auftritt, -e	выступление (на сцене)
