german,russian
bitten,просить                               
fahren,ехать
frieren,мерзнуть
sehr,очень
sitzen,сидеть
sie,она
Sie,вы
studieren,учиться
tanzen,танцевать
wandern,гулять
wir,мы
bitten,просить
und,и
der Arzt,врач
der Bruder,брат
warten Sie da,ждите здесь
die Suppe,суп
der Katze,кот
das Fenster,окно
fragen,спрашивать
gehen,идти
da,здесь
gern,охотно
gut,хорошо
immer,всегда
das Kind,ребенок
der Mann,мужчина
die Mutter,мать
nah [na:],близко
sagen,сказать
die Schwester,сестра
stehen,стоять
die Tante,тетя
der Tisch,стол
unten,внизу
die Vase,ваза
der Vater,отец
warten,ждать
das Zimmer,комната
zusammen,вместе
er fragt,он спрашивает
es sagt,оно говорит
diser,этот
antworten,отвечать
bestimmt,конечно
dort und hier,там и здесь
das Gespräch,разговор
jetzt und immer,теперь и всегда
kommen,приходить
das Geld,деньги
ich [ç],я
ihr,вы
mehr als Geld,больше чем деньги
oben,наверху
oft,часто
rechnen [ç],считать
rufen,звать
der Sohn,сын
die Straße,улица
suchen [x],искать
morgen,завтра
noch Bier,еще пива
oder dieser oder jener,или этот или тот
rechts [ç],справа
schon,уже
der Tag,день
die Tochter,дочь
vier,четыре
wohnen,жить
der Besuch,гости
richtig,правильно
wir gehen zu Besuch,мы идем в гости
er fragt nicht mehr,он больше не спрашивает
er kommt nach Odessa,он едет в Одессу
die Arbeit,работа
arbeiten,работать
auch,также
die Aufgabe,задание
bald,скоро
bereit,готов
bitte,пожалуйста
bleiben,оставаться
das Buch,книга
denn,разве
doch,ведь
drei,три
faul,ленивый
fertig,готов
fleißig,прилежный
die Frau,женщина
froh,радостный
ganz,совсем
groß,большой
das Haus,дом
das Heft,тетрадь
die Karte,карта
lächeln [ç],улыбаться
leicht [ç],легко
der Lehrer,учитель
lernen,учить
machen,делать
die Mappe,портфель
rot,красный
nein,нет
die Regel,правило
schreiben,писать
schwer,трудный
die Uhr,часы
der Unterricht,занятия
viel,много
welt,далеко
wenig,мало
wieder,опять
wiederholen,повторять
wirklich,действительно
wissen,знать
zeigen,показывать
zwei,два
bis morgen,до завтра
bis bald,до скорой встречи
das stimmt,это так
gar nicht,совсем нет
zufrieden sein,быть довольным
zu Ende sein,заканчиваться
also,итак
alt,старый
dick,толстый
dünn,тонкий
erst [st],лишь только
finden,находить
der Freund,друг
die Freundschaft,дружба
früh,рано
frühstücken,завтракать
fünf,пять
das Glück,счастье
grüßen,здороваться
gewöhnlich,обычно
heißen,называть
heute,сегодня
höflich,вежливый
hören,слышать
kennen,знать
klein,маленький
leider,к сожалению
der Morgen,утро
natürlich,конечно
neu,новый
nur [nu:r],только (всего лишь)
öffnen,открывать
plötzlich,вдруг
prüfen,проверять
der Satz,предложение
schade,жаль
schon schön,уже красивый
die Schülerin,ученица
die Sprache,язык
stören,мешать
die Tür,дверь
üben,упражняться
die Übung,упражнение
übersetzen,переводить
weiter,дальше
das Wort,слово
die Zeit,время
am Morgen,утром
die Adrésse,адрес
das `Anfang,начало
die Antwórt,ответ
aufstehen,вставать
bemerken,замечать
besuchen,посещать
brauchen [x],нуждаться
das Brief,письмо
danken,благодарить
durchsehen,просматривать
eintreten,входить
erhalten,получать
die Familie [-liэ],семья
der Fehler,ошибка
geben,давать
gefallen,нравиться
gerade,как раз
halten,"держать, останавливаться"
helfen,помогать
die Hilfe,помощь
jemand,кто-то
klingeln [носовой],звонить
korrigiren,исправлять
lang,длинный
lange,долго
lassen,оставлять
laufen,бежать
lesen,читать
manchmal [ç],иногда
mitfahren,ехать вместе с
mitgeben,давать с собой
nehmen,брать
ruhig,спокойный
sehen-sehe-siehst,видеть
selbständig [-p-ш],самостоятельно
sofórt,"сейчас, сию минуту"
schlafen,спать
die Schule,школа
verstehen,понимать
vieles,многое
vielleicht,"возможно, может быть"
vorlesen [`фо-],читать вслух
wohèr,откуда
zuèrst [-st],сначала
noch einmal,еще раз
aufs Land fahren,ехать за город
beschäftigt sein [bəˈʃɛftɪçt],быть занятым
sechs  [zɛks],6
sieben,7
wir haben jetzt wirklich viel zu tun,мы сейчас действительно очень заняты
am Nachmittag,во второй половине дня
warte mal,подожди-ка
aussehen,выглядеть
das Beispiel,пример
besonders der Bison  [ˈbiː-],особенно бизон
der Besucher,посетитель
